ZIP,Pkg Sort Code,ACI Hub,Presort Group Name,Phase,DDU Entry Available,Home Delivery Available,Zone from ACI Hub,Phase 1 Transit (bus days)
01376,,NYC,,2,YES,NOT YET,2,
01420,,NYC,,2,YES,NOT YET,2,
01432,,NYC,,2,YES,NOT YET,2,
01434,,NYC,,2,YES,NOT YET,2,
01440,,NYC,,2,YES,NOT YET,2,
01441,,NYC,,2,YES,NOT YET,2,
01450,,NYC,,2,YES,NOT YET,2,
01451,,NYC,,2,YES,NOT YET,2,
01453,,NYC,,2,YES,NOT YET,2,
01460,,NYC,,2,YES,NOT YET,2,
01462,,NYC,,2,YES,NOT YET,2,
01463,,NYC,,2,YES,NOT YET,2,
01464,,NYC,,2,YES,NOT YET,2,
01469,,NYC,,2,YES,NOT YET,2,
01470,,NYC,,2,YES,NOT YET,2,
01471,,NYC,,2,YES,NOT YET,2,
01501,,NYC,,2,YES,NOT YET,2,
01504,,NYC,,2,YES,NOT YET,2,
01510,,NYC,,2,YES,NOT YET,2,
01519,,NYC,,2,YES,NOT YET,2,
01520,,NYC,,2,YES,NOT YET,2,
01524,,NYC,,2,YES,NOT YET,2,
01527,,NYC,,2,YES,NOT YET,2,
01532,,NYC,,2,YES,NOT YET,2,
01534,,NYC,,2,YES,NOT YET,2,
01536,,NYC,,2,YES,NOT YET,2,
01537,,NYC,,2,YES,NOT YET,2,
01540,,NYC,,2,YES,NOT YET,2,
01545,,NYC,,2,YES,NOT YET,2,
01546,,NYC,,2,YES,NOT YET,2,
01550,,NYC,,2,YES,NOT YET,2,
01562,,NYC,,2,YES,NOT YET,2,
01564,,NYC,,2,YES,NOT YET,2,
01568,,NYC,,2,YES,NOT YET,2,
01569,,NYC,,2,YES,NOT YET,2,
01570,,NYC,,2,YES,NOT YET,2,
01571,,NYC,,2,YES,NOT YET,2,
01581,,NYC,,2,YES,NOT YET,2,
01583,,NYC,,2,YES,NOT YET,2,
01586,,NYC,,2,YES,NOT YET,2,
01588,,NYC,,2,YES,NOT YET,2,
01601,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01602,,NYC,,2,YES,NOT YET,2,
01603,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01604,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01605,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01606,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01607,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01608,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01609,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01610,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01611,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01612,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01613,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01614,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01615,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01653,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01655,NYC-C-03,NYC,NYC-C,1,YES,NOT YET,2,2
01701,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01702,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01703,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01704,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01705,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01718,,NYC,,2,YES,NOT YET,2,
01719,,NYC,,2,YES,NOT YET,2,
01720,,NYC,,2,YES,NOT YET,2,
01721,,NYC,,2,YES,NOT YET,2,
01740,,NYC,,2,YES,NOT YET,2,
01741,,NYC,,2,YES,NOT YET,2,
01742,,NYC,,2,YES,NOT YET,2,
01745,,NYC,,2,YES,NOT YET,2,
01746,,NYC,,2,YES,NOT YET,2,
01747,,NYC,,2,YES,NOT YET,2,
01748,,NYC,,2,YES,NOT YET,2,
01749,,NYC,,2,YES,NOT YET,2,
01752,,NYC,,2,YES,NOT YET,2,
01754,,NYC,,2,YES,NOT YET,2,
01756,,NYC,,2,YES,NOT YET,2,
01757,,NYC,,2,YES,NOT YET,2,
01760,NYC-C-26,NYC,NYC-C,1,YES,NOT YET,2,2
01772,,NYC,,2,YES,NOT YET,2,
01773,,NYC,,2,YES,NOT YET,2,
01775,,NYC,,2,YES,NOT YET,2,
01776,,NYC,,2,YES,NOT YET,2,
01778,,NYC,,2,YES,NOT YET,2,
01801,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01803,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01805,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01810,NYC-C-73,NYC,NYC-C,1,YES,NOT YET,3,2
01813,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01815,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01821,NYC-C-09,NYC,NYC-C,1,YES,NOT YET,3,2
01822,,NYC,,2,YES,NOT YET,3,
01824,NYC-C-09,NYC,NYC-C,1,YES,NOT YET,3,2
01826,NYC-C-33,NYC,NYC-C,1,YES,NOT YET,3,2
01830,NYC-C-14,NYC,NYC-C,1,YES,NOT YET,3,2
01831,NYC-C-14,NYC,NYC-C,1,YES,NOT YET,3,2
01832,NYC-C-14,NYC,NYC-C,1,YES,NOT YET,3,2
01833,,NYC,,2,YES,NOT YET,3,
01834,,NYC,,2,YES,NOT YET,3,
01835,NYC-C-14,NYC,NYC-C,1,YES,NOT YET,3,2
01840,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01841,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01842,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01843,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01844,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01845,NYC-C-02,NYC,NYC-C,1,YES,NOT YET,3,2
01850,NYC-C-33,NYC,NYC-C,1,YES,NOT YET,3,2
01851,NYC-C-21,NYC,NYC-C,1,YES,NOT YET,3,2
01852,NYC-C-09,NYC,NYC-C,1,YES,NOT YET,3,2
01853,NYC-C-21,NYC,NYC-C,1,YES,NOT YET,3,2
01854,NYC-C-21,NYC,NYC-C,1,YES,NOT YET,3,2
01860,,NYC,,2,YES,NOT YET,3,
01862,NYC-C-09,NYC,NYC-C,1,YES,NOT YET,3,2
01863,,NYC,,2,YES,NOT YET,3,
01864,,NYC,,2,YES,NOT YET,3,
01867,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01876,,NYC,,2,YES,NOT YET,3,
01879,,NYC,,2,YES,NOT YET,3,
01880,,NYC,,2,YES,NOT YET,3,
01886,,NYC,,2,YES,NOT YET,3,
01887,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01888,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01890,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01901,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01902,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01903,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01904,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01905,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01906,NYC-C-78,NYC,NYC-C,1,YES,NOT YET,3,2
01907,,NYC,,2,YES,NOT YET,3,
01908,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01910,NYC-C-06,NYC,NYC-C,1,YES,NOT YET,3,2
01913,,NYC,,2,YES,NOT YET,3,
01915,NYC-C-70,NYC,NYC-C,1,YES,NOT YET,3,2
01923,NYC-C-17,NYC,NYC-C,1,YES,NOT YET,3,2
01930,NYC-C-43,NYC,NYC-C,1,YES,NOT YET,3,2
01931,NYC-C-43,NYC,NYC-C,1,YES,NOT YET,3,2
01938,,NYC,,2,YES,NOT YET,3,
01940,NYC-C-05,NYC,NYC-C,1,YES,NOT YET,3,2
01944,,NYC,,2,YES,NOT YET,3,
01945,,NYC,,2,YES,NOT YET,3,
01949,,NYC,,2,YES,NOT YET,3,
01950,NYC-C-86,NYC,NYC-C,1,YES,NOT YET,3,2
01951,NYC-C-86,NYC,NYC-C,1,YES,NOT YET,3,2
01952,NYC-C-86,NYC,NYC-C,1,YES,NOT YET,3,2
01960,NYC-C-17,NYC,NYC-C,1,YES,NOT YET,3,2
01961,NYC-C-17,NYC,NYC-C,1,YES,NOT YET,3,2
01966,,NYC,,2,YES,NOT YET,3,
01982,,NYC,,2,YES,NOT YET,3,
01983,,NYC,,2,YES,NOT YET,3,
01984,,NYC,,2,YES,NOT YET,3,
02018,,NYC,,2,YES,NOT YET,3,
02019,,NYC,,2,YES,NOT YET,3,
02021,,NYC,,2,YES,NOT YET,3,
02025,,NYC,,2,YES,NOT YET,3,
02026,,NYC,,2,YES,NOT YET,3,
02027,,NYC,,2,YES,NOT YET,3,
02030,,NYC,,2,YES,NOT YET,3,
02035,,NYC,,2,YES,NOT YET,3,
02038,,NYC,,2,YES,NOT YET,3,
02040,,NYC,,2,YES,NOT YET,3,
02043,,NYC,,2,YES,NOT YET,3,
02044,,NYC,,2,YES,NOT YET,3,
02045,,NYC,,2,YES,NOT YET,3,
02048,,NYC,,2,YES,NOT YET,3,
02050,,NYC,,2,YES,NOT YET,3,
02052,,NYC,,2,YES,NOT YET,3,
02053,,NYC,,2,YES,NOT YET,3,
02054,,NYC,,2,YES,NOT YET,3,
02055,,NYC,,2,YES,NOT YET,3,
02056,,NYC,,2,YES,NOT YET,3,
02060,,NYC,,2,YES,NOT YET,3,
02061,,NYC,,2,YES,NOT YET,3,
02062,,NYC,,2,YES,NOT YET,3,
02066,,NYC,,2,YES,NOT YET,3,
02067,,NYC,,2,YES,NOT YET,3,
02072,,NYC,,2,YES,NOT YET,3,
02081,,NYC,,2,YES,NOT YET,3,
02090,,NYC,,2,YES,NOT YET,3,
02093,,NYC,,2,YES,NOT YET,3,
02108,,NYC,,2,YES,NOT YET,3,
02109,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02110,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02111,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02112,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02113,,NYC,,2,YES,NOT YET,3,
02114,,NYC,,2,YES,NOT YET,3,
02115,NYC-C-89,NYC,NYC-C,1,YES,NOT YET,3,2
02116,,NYC,,2,YES,NOT YET,3,
02117,,NYC,,2,YES,NOT YET,3,
02118,NYC-C-04,NYC,NYC-C,1,YES,NOT YET,3,2
02119,NYC-C-04,NYC,NYC-C,1,YES,NOT YET,3,2
02120,NYC-C-04,NYC,NYC-C,1,YES,NOT YET,3,2
02121,NYC-C-04,NYC,NYC-C,1,YES,NOT YET,3,2
02122,NYC-C-77,NYC,NYC-C,1,YES,NOT YET,3,2
02123,NYC-C-89,NYC,NYC-C,1,YES,NOT YET,3,2
02124,NYC-C-30,NYC,NYC-C,1,YES,NOT YET,3,2
02125,NYC-C-04,NYC,NYC-C,1,YES,NOT YET,3,2
02126,NYC-C-68,NYC,NYC-C,1,YES,NOT YET,3,2
02127,NYC-C-84,NYC,NYC-C,1,YES,NOT YET,3,2
02128,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02129,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02130,NYC-C-80,NYC,NYC-C,1,YES,NOT YET,3,2
02131,NYC-C-61,NYC,NYC-C,1,YES,NOT YET,3,2
02132,,NYC,,2,YES,NOT YET,3,
02133,,NYC,,2,YES,NOT YET,3,
02134,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02135,NYC-C-66,NYC,NYC-C,1,YES,NOT YET,3,2
02136,NYC-C-39,NYC,NYC-C,1,YES,NOT YET,3,2
02137,NYC-C-39,NYC,NYC-C,1,YES,NOT YET,3,2
02138,NYC-C-59,NYC,NYC-C,1,YES,NOT YET,3,2
02140,NYC-C-59,NYC,NYC-C,1,YES,NOT YET,3,2
02141,NYC-C-44,NYC,NYC-C,1,YES,NOT YET,3,2
02142,NYC-C-44,NYC,NYC-C,1,YES,NOT YET,3,2
02143,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02144,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02145,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02148,NYC-C-20,NYC,NYC-C,1,YES,NOT YET,3,2
02149,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02150,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02151,NYC-C-10,NYC,NYC-C,1,YES,NOT YET,3,2
02152,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02153,NYC-C-36,NYC,NYC-C,1,YES,NOT YET,3,2
02155,NYC-C-36,NYC,NYC-C,1,YES,NOT YET,3,2
02156,NYC-C-36,NYC,NYC-C,1,YES,NOT YET,3,2
02163,NYC-C-44,NYC,NYC-C,1,YES,NOT YET,3,2
02169,NYC-C-38,NYC,NYC-C,1,YES,NOT YET,3,2
02170,,NYC,,2,YES,NOT YET,3,
02171,NYC-C-87,NYC,NYC-C,1,YES,NOT YET,3,2
02176,NYC-C-10,NYC,NYC-C,1,YES,NOT YET,3,2
02180,,NYC,,2,YES,NOT YET,3,
02184,NYC-C-48,NYC,NYC-C,1,YES,NOT YET,3,2
02185,,NYC,,2,YES,NOT YET,3,
02186,,NYC,,2,YES,NOT YET,3,
02187,,NYC,,2,YES,NOT YET,3,
02188,,NYC,,2,YES,NOT YET,3,
02189,,NYC,,2,YES,NOT YET,3,
02190,NYC-C-48,NYC,NYC-C,1,YES,NOT YET,3,2
02191,,NYC,,2,YES,NOT YET,3,
02199,,NYC,,2,YES,NOT YET,3,
02201,,NYC,,2,YES,NOT YET,3,
02203,,NYC,,2,YES,NOT YET,3,
02204,NYC-C-01,NYC,NYC-C,1,YES,NOT YET,3,2
02205,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02206,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02210,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02211,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02212,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02215,,NYC,,2,YES,NOT YET,3,
02217,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02222,,NYC,,2,YES,NOT YET,3,
02238,,NYC,,2,YES,NOT YET,3,
02241,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02266,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02269,NYC-C-38,NYC,NYC-C,1,YES,NOT YET,3,2
02283,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02284,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02293,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02297,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02298,NYC-C-83,NYC,NYC-C,1,YES,NOT YET,3,2
02301,NYC-C-07,NYC,NYC-C,1,YES,NOT YET,3,2
02302,NYC-C-07,NYC,NYC-C,1,YES,NOT YET,3,2
02303,NYC-C-07,NYC,NYC-C,1,YES,NOT YET,3,2
02304,NYC-C-07,NYC,NYC-C,1,YES,NOT YET,3,2
02305,NYC-C-07,NYC,NYC-C,1,YES,NOT YET,3,2
02324,,NYC,,2,YES,NOT YET,3,
02325,,NYC,,2,YES,NOT YET,3,
02331,,NYC,,2,YES,NOT YET,3,
02332,,NYC,,2,YES,NOT YET,3,
02333,,NYC,,2,YES,NOT YET,3,
02338,,NYC,,2,YES,NOT YET,3,
02339,,NYC,,2,YES,NOT YET,3,
02341,,NYC,,2,YES,NOT YET,3,
02343,,NYC,,2,YES,NOT YET,3,
02344,,NYC,,2,YES,NOT YET,3,
02346,,NYC,,2,YES,NOT YET,3,
02348,,NYC,,2,YES,NOT YET,3,
02349,,NYC,,2,YES,NOT YET,3,
02351,,NYC,,2,YES,NOT YET,3,
02356,,NYC,,2,YES,NOT YET,3,
02357,,NYC,,2,YES,NOT YET,3,
02359,,NYC,,2,YES,NOT YET,3,
02360,,NYC,,2,YES,NOT YET,3,
02361,,NYC,,2,YES,NOT YET,3,
02362,,NYC,,2,YES,NOT YET,3,
02364,,NYC,,2,YES,NOT YET,3,
02368,NYC-C-79,NYC,NYC-C,1,YES,NOT YET,3,2
02370,,NYC,,2,YES,NOT YET,3,
02375,,NYC,,2,YES,NOT YET,3,
02379,,NYC,,2,YES,NOT YET,3,
02382,,NYC,,2,YES,NOT YET,3,
02420,,NYC,,2,YES,NOT YET,3,
02421,,NYC,,2,YES,NOT YET,3,
02445,NYC-C-67,NYC,NYC-C,1,YES,NOT YET,3,2
02446,NYC-C-67,NYC,NYC-C,1,YES,NOT YET,3,2
02447,NYC-C-67,NYC,NYC-C,1,YES,NOT YET,3,2
02451,NYC-C-31,NYC,NYC-C,1,YES,NOT YET,3,2
02452,NYC-C-31,NYC,NYC-C,1,YES,NOT YET,3,2
02453,NYC-C-31,NYC,NYC-C,1,YES,NOT YET,3,2
02454,NYC-C-31,NYC,NYC-C,1,YES,NOT YET,3,2
02456,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02457,,NYC,,2,YES,NOT YET,3,
02458,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02459,,NYC,,2,YES,NOT YET,3,
02460,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02461,,NYC,,2,YES,NOT YET,3,
02462,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02464,,NYC,,2,YES,NOT YET,3,
02465,NYC-C-65,NYC,NYC-C,1,YES,NOT YET,3,2
02466,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02467,,NYC,,2,YES,NOT YET,3,
02471,NYC-C-62,NYC,NYC-C,1,YES,NOT YET,3,2
02472,NYC-C-62,NYC,NYC-C,1,YES,NOT YET,3,2
02474,NYC-C-74,NYC,NYC-C,1,YES,NOT YET,3,2
02475,NYC-C-74,NYC,NYC-C,1,YES,NOT YET,3,2
02476,NYC-C-74,NYC,NYC-C,1,YES,NOT YET,3,2
02477,NYC-C-62,NYC,NYC-C,1,YES,NOT YET,3,2
02478,,NYC,,2,YES,NOT YET,3,
02479,,NYC,,2,YES,NOT YET,3,
02481,,NYC,,2,YES,NOT YET,3,
02482,,NYC,,2,YES,NOT YET,3,
02492,NYC-C-85,NYC,NYC-C,1,YES,NOT YET,3,2
02493,,NYC,,2,YES,NOT YET,3,
02494,NYC-C-85,NYC,NYC-C,1,YES,NOT YET,3,2
02495,NYC-C-64,NYC,NYC-C,1,YES,NOT YET,3,2
02532,,NYC,,2,YES,NOT YET,3,
02536,,NYC,,2,YES,NOT YET,3,
02537,,NYC,,2,YES,NOT YET,3,
02540,,NYC,,2,YES,NOT YET,3,
02541,,NYC,,2,YES,NOT YET,3,
02542,,NYC,,2,YES,NOT YET,3,
02543,,NYC,,2,YES,NOT YET,3,
02563,,NYC,,2,YES,NOT YET,3,
02571,,NYC,,2,YES,NOT YET,3,
02601,,NYC,,2,YES,NOT YET,3,
02631,,NYC,,2,YES,NOT YET,3,
02632,,NYC,,2,YES,NOT YET,3,
02633,,NYC,,2,YES,NOT YET,3,
02634,,NYC,,2,YES,NOT YET,3,
02644,,NYC,,2,YES,NOT YET,3,
02645,,NYC,,2,YES,NOT YET,3,
02648,,NYC,,2,YES,NOT YET,3,
02649,,NYC,,2,YES,NOT YET,3,
02653,,NYC,,2,YES,NOT YET,3,
02660,,NYC,,2,YES,NOT YET,3,
02664,,NYC,,2,YES,NOT YET,3,
02673,,NYC,,2,YES,NOT YET,3,
02675,,NYC,,2,YES,NOT YET,3,
02703,NYC-C-53,NYC,NYC-C,1,YES,NOT YET,3,2
02714,,NYC,,2,YES,NOT YET,3,
02718,NYC-C-08,NYC,NYC-C,1,YES,NOT YET,3,2
02719,,NYC,,2,YES,NOT YET,3,
02720,NYC-C-56,NYC,NYC-C,1,YES,NOT YET,3,2
02721,NYC-C-37,NYC,NYC-C,1,YES,NOT YET,3,2
02722,NYC-C-37,NYC,NYC-C,1,YES,NOT YET,3,2
02723,NYC-C-37,NYC,NYC-C,1,YES,NOT YET,3,2
02724,,NYC,,2,YES,NOT YET,3,
02725,,NYC,,2,YES,NOT YET,3,
02726,,NYC,,2,YES,NOT YET,3,
02738,,NYC,,2,YES,NOT YET,3,
02739,,NYC,,2,YES,NOT YET,3,
02740,NYC-C-25,NYC,NYC-C,1,YES,NOT YET,3,2
02741,NYC-C-25,NYC,NYC-C,1,YES,NOT YET,3,2
02742,NYC-C-25,NYC,NYC-C,1,YES,NOT YET,3,2
02744,NYC-C-25,NYC,NYC-C,1,YES,NOT YET,3,2
02745,NYC-C-34,NYC,NYC-C,1,YES,NOT YET,3,2
02746,NYC-C-34,NYC,NYC-C,1,YES,NOT YET,3,2
02747,NYC-C-82,NYC,NYC-C,1,YES,NOT YET,3,2
02748,,NYC,,2,YES,NOT YET,3,
02760,NYC-C-57,NYC,NYC-C,1,YES,NOT YET,3,2
02761,NYC-C-57,NYC,NYC-C,1,YES,NOT YET,3,2
02762,NYC-C-57,NYC,NYC-C,1,YES,NOT YET,3,2
02763,NYC-C-57,NYC,NYC-C,1,YES,NOT YET,3,2
02766,NYC-C-08,NYC,NYC-C,1,YES,NOT YET,3,2
02767,NYC-C-08,NYC,NYC-C,1,YES,NOT YET,3,2
02771,NYC-C-54,NYC,NYC-C,1,YES,NOT YET,3,2
02777,,NYC,,2,YES,NOT YET,3,
02779,NYC-C-08,NYC,NYC-C,1,YES,NOT YET,3,2
02780,NYC-C-08,NYC,NYC-C,1,YES,NOT YET,3,2
02790,,NYC,,2,YES,NOT YET,3,
02806,,NYC,,2,YES,NOT YET,3,
02809,,NYC,,2,YES,NOT YET,3,
02815,,NYC,,2,YES,NOT YET,3,
02816,NYC-C-50,NYC,NYC-C,1,YES,NOT YET,3,2
02818,NYC-C-51,NYC,NYC-C,1,YES,NOT YET,3,2
02828,,NYC,,2,YES,NOT YET,3,
02836,,NYC,,2,YES,NOT YET,3,
02839,,NYC,,2,YES,NOT YET,3,
02840,,NYC,,2,YES,NOT YET,3,
02841,,NYC,,2,YES,NOT YET,3,
02842,,NYC,,2,YES,NOT YET,3,
02852,NYC-C-51,NYC,NYC-C,1,YES,NOT YET,3,2
02858,,NYC,,2,YES,NOT YET,3,
02860,NYC-C-27,NYC,NYC-C,1,YES,NOT YET,3,2
02861,NYC-C-71,NYC,NYC-C,1,YES,NOT YET,3,2
02862,NYC-C-27,NYC,NYC-C,1,YES,NOT YET,3,2
02863,NYC-C-27,NYC,NYC-C,1,YES,NOT YET,3,2
02864,NYC-C-76,NYC,NYC-C,1,YES,NOT YET,3,2
02871,,NYC,,2,YES,NOT YET,3,
02874,NYC-C-51,NYC,NYC-C,1,YES,NOT YET,3,2
02879,NYC-C-63,NYC,NYC-C,1,YES,NOT YET,3,2
02880,NYC-C-63,NYC,NYC-C,1,YES,NOT YET,3,2
02881,NYC-C-63,NYC,NYC-C,1,YES,NOT YET,3,2
02882,NYC-C-63,NYC,NYC-C,1,YES,NOT YET,3,2
02883,NYC-C-63,NYC,NYC-C,1,YES,NOT YET,3,2
02885,,NYC,,2,YES,NOT YET,3,
02886,NYC-C-18,NYC,NYC-C,1,YES,NOT YET,3,2
02887,,NYC,,2,YES,NOT YET,3,
02888,NYC-C-18,NYC,NYC-C,1,YES,NOT YET,3,2
02889,NYC-C-18,NYC,NYC-C,1,YES,NOT YET,3,2
02891,,NYC,,2,YES,NOT YET,3,
02893,NYC-C-60,NYC,NYC-C,1,YES,NOT YET,3,2
02895,NYC-C-28,NYC,NYC-C,1,YES,NOT YET,3,2
02896,NYC-C-28,NYC,NYC-C,1,YES,NOT YET,3,2
02903,NYC-C-11,NYC,NYC-C,1,YES,NOT YET,3,2
02904,NYC-C-11,NYC,NYC-C,1,YES,NOT YET,3,2
02905,NYC-C-19,NYC,NYC-C,1,YES,NOT YET,3,2
02906,NYC-C-11,NYC,NYC-C,1,YES,NOT YET,3,2
02907,NYC-C-19,NYC,NYC-C,1,YES,NOT YET,3,2
02908,NYC-C-11,NYC,NYC-C,1,YES,NOT YET,3,2
